/* Unit: gC/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17,,,
S Asia,2014,792.70,1280.18,591.80,641.16,664.23,438.52,39.69,924.79,580.25,233.88,68.46,318.59,31.91,585.45,1.72,10.41,1.77,,,
SE Asia,2014,819.20,1436.46,308.57,1032.08,1169.95,919.13,446.38,1077.28,904.76,796.75,226.98,627.36,117.57,872.20,17.56,78.63,6.49,,,
SW Asia,2014,968.74,1214.73,552.92,1008.05,932.12,747.35,96.96,973.42,782.18,309.71,372.89,416.73,24.29,981.72,5.56,2.98,1.20,,,
Central Asia,2014,551.17,1.16,567.95,644.77,640.39,572.73,34.58,599.59,508.82,174.41,87.56,306.76,10.42,542.70,3.13,10.07,0.08,,,
Central America,2014,539.09,1583.72,139.50,1250.65,1662.64,821.94,627.86,1349.45,999.16,1026.31,257.58,922.58,160.93,1062.44,0.00,87.80,0.09,,,
South America,2014,861.15,1410.99,558.42,880.12,812.06,710.97,253.53,1031.73,876.09,646.34,146.55,745.12,16.27,989.49,2.26,35.07,1.47,,,
North America,2013,682.16,1424.47,595.62,981.88,780.91,511.86,233.39,639.84,430.59,203.91,95.48,560.83,65.15,801.41,1.09,13.33,10.65,,,
Europe,2013,700.52,1214.56,419.20,868.89,728.11,553.83,328.06,682.04,642.14,458.16,194.79,602.78,35.47,759.89,0.50,10.38,1.00,,,
Africa,2013,1266.86,1298.10,338.49,898.49,954.56,474.08,183.02,1134.15,823.34,348.33,95.83,376.71,103.79,631.84,14.81,0.69,0.38,,,
Australia,2013,1817.12,2016.15,1652.82,1265.63,1366.44,276.94,110.70,1089.35,852.47,408.52,252.21,627.48,89.86,1561.04,0.00,9.39,0.66,,,
E Asia,2013,946.51,1335.73,616.99,807.32,916.06,527.49,69.36,903.10,800.87,285.73,204.47,503.65,140.51,741.17,1.01,6.05,2.20,,,
N Asia,2013,552.05,0.00,493.30,643.91,600.10,355.76,232.05,481.19,338.94,206.19,58.03,460.95,27.43,524.89,1.95,13.59,20.81,,,
S Asia,2013,814.54,1257.03,434.88,734.51,732.91,442.11,48.69,945.41,637.96,256.90,67.54,363.78,34.46,609.00,2.18,11.15,1.84,,,
SE Asia,2013,890.90,1349.65,249.90,1007.76,1146.81,871.91,450.81,1024.08,880.04,758.17,202.60,620.00,111.60,844.33,18.20,75.69,5.14,,,
SW Asia,2013,980.76,1234.16,602.08,1135.62,1028.84,707.57,108.48,1056.49,817.24,345.04,387.49,463.65,25.65,1026.23,4.30,3.29,1.33,,,
Central Asia,2013,610.99,2.30,587.53,682.03,692.97,593.75,69.19,618.30,554.09,213.48,104.70,345.68,12.13,596.44,3.71,14.24,0.11,,,
Central America,2013,496.70,1466.52,185.11,1218.73,1572.17,740.64,457.47,1258.31,939.28,946.90,241.75,888.07,153.74,999.22,0.00,91.46,0.09,,,
South America,2013,939.04,1404.67,565.77,724.17,914.32,590.86,226.26,1014.99,854.73,630.27,141.06,709.97,16.12,1001.54,3.07,34.50,1.57,,,
North America,2012,650.76,1442.82,597.57,907.30,809.28,488.49,228.49,613.22,429.05,196.75,93.72,521.36,63.29,790.45,1.16,12.97,9.76,,,
Europe,2012,642.08,1190.14,329.43,799.25,723.75,474.06,238.37,606.32,596.54,424.43,165.01,572.88,34.13,752.81,0.61,9.80,0.88,,,
Africa,2012,1081.99,1203.10,423.36,892.31,926.80,492.80,181.71,1096.30,815.99,381.43,93.43,414.58,100.30,624.71,28.97,0.62,0.25,,,
Australia,2012,1875.57,2038.87,1999.36,1308.17,1443.03,354.33,168.28,1139.93,901.33,503.27,265.19,636.55,90.92,1557.20,-0.09,12.87,1.11,,,
E Asia,2012,872.29,1320.10,618.14,772.78,849.96,571.99,69.88,839.90,740.55,274.13,202.97,508.64,138.64,687.86,2.23,5.60,1.73,,,
N Asia,2012,587.86,0.00,488.42,620.95,599.01,366.24,238.30,484.34,344.31,208.47,59.59,360.48,24.21,457.54,2.22,14.68,22.10,,,
S Asia,2012,761.42,1265.90,336.33,636.90,679.36,415.01,41.35,912.37,571.21,233.80,61.35,319.69,31.64,574.34,2.53,10.42,1.41,,,
SE Asia,2012,825.93,1340.17,145.49,992.58,1140.04,860.10,471.16,1008.81,878.85,737.51,204.66,618.76,109.15,854.38,19.83,65.75,3.56,,,
