Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
SW Asia,2016,2.38058E+13,6.12636E+11,1228563979,5.4515E+13,1.99046E+13,1.52566E+11,4.7047E+13,7.51236E+13,7.06097E+13,3.72975E+14,2.80193E+12,2.46019E+14,1.28571E+12,8.70067E+12,12712747061,1.52104E+13,37252579252
Central Asia,2016,7.3123E+11,9374804.489,82551604777,9.23047E+11,6.5895E+12,3.18626E+11,1.03235E+13,6.75955E+12,6.5782E+12,7.79557E+14,1.08314E+12,9.27114E+13,3.56655E+11,3.91247E+11,1.10118E+11,1.28213E+13,29646534079
Central America,2016,37556324155,2.90008E+14,94065328.74,6.37348E+12,2.67969E+12,2.08881E+11,2727032063,2.64891E+14,1.46189E+14,2.58107E+13,1.92442E+12,1.13666E+13,3.85939E+11,8.18614E+12,0,5233300109,650804531.2
South America,2016,5.4291E+13,1.10486E+16,3840657501,2.38271E+14,8.40572E+13,4.49188E+13,2.70556E+14,1.10246E+15,3.37365E+15,2.85075E+15,2.78679E+13,6.7098E+14,1.78598E+12,1.6518E+14,67227643171,3.24524E+13,3.0424E+11
North America,2015,8.23976E+14,2.94296E+14,3.68137E+12,8.43543E+14,7.36223E+14,1.27115E+13,5.14719E+14,1.99276E+15,1.118E+15,1.18449E+15,4.12418E+13,1.12604E+15,1.04827E+13,1.31626E+14,4.42624E+11,1.04942E+13,6.50649E+12
Europe,2015,4.23308E+14,2.67728E+13,1.1966E+11,3.01431E+14,1.04617E+15,8.91278E+11,5.90516E+13,7.79537E+14,6.9347E+14,5.89289E+14,1.63473E+13,1.42033E+15,5.55016E+12,1.77471E+14,46634221077,7.61754E+11,1.30806E+11
Africa,2015,4.89478E+12,2.82505E+15,1223559981,2.89015E+14,2.46919E+14,5.62256E+13,2.85763E+14,1.19099E+15,3.15726E+15,2.42526E+15,9.01864E+12,4.76645E+14,5.47986E+12,1.68505E+14,214501907.9,7.14984E+12,68259198212
Australia,2015,7.31703E+13,4.23105E+14,1759000327,2.14045E+12,9.60984E+12,9.03215E+13,5.13861E+14,1.44447E+14,4.80133E+14,7.1594E+14,2.88227E+12,1.88196E+14,9.22384E+11,1.43542E+12,135995417,1.24724E+12,12197939998
E Asia,2015,9.39055E+13,3.37054E+15,9.33198E+12,4.76148E+14,4.54571E+14,2.4663E+12,7.20606E+11,1.64392E+15,8.98359E+14,8.11445E+14,2.36275E+13,9.21079E+14,3.14562E+13,2.91649E+14,37817923668,1.24716E+13,3.58164E+11
N Asia,2015,2.26814E+14,0,2.09313E+14,2.11202E+14,8.56272E+14,1.17964E+13,6.93788E+14,1.16661E+15,8.21302E+14,5.44931E+14,1.80553E+13,1.19395E+14,3.66716E+11,2.26216E+13,83958324285,8.06767E+12,5.07102E+12
