/* Unit: gC */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
E Asia,2015,1.31376E+13,4.15902E+14,9.29551E+11,7.5453E+13,7.04083E+13,7.37696E+11,7.32037E+11,4.90438E+14,3.26764E+14,3.13483E+14,7.07477E+13,2.47568E+14,2.77466E+13,9.96579E+13,2.34586E+11,2.99705E+13,1.10764E+12
N Asia,2015,1.87805E+13,0,2.3745E+13,2.33044E+13,5.73601E+13,2.7945E+12,1.1417E+14,1.64161E+14,2.67634E+14,2.3012E+14,8.57515E+13,2.57119E+13,3.18759E+11,1.85344E+12,3.21434E+11,2.09786E+13,3.40068E+12
S Asia,2015,1.10763E+13,2.85958E+13,1425083511,1.30902E+13,3.56007E+13,50444119045,2.37112E+13,5.23243E+13,5.41472E+13,9.9933E+13,9.41405E+12,2.48283E+14,1.49325E+12,2.09067E+13,1.73517E+11,2.21085E+13,6.09517E+11
SE Asia,2015,4.14376E+12,3.67763E+14,9151766066,2.33386E+13,2.57957E+13,4.01573E+11,82892056842,3.69488E+14,1.60406E+14,9.31512E+13,6.36032E+13,1.25396E+14,4.39836E+12,6.39738E+13,5202074282,5.08542E+11,6.82788E+11
SW Asia,2015,2.00853E+12,50486977338,310487739.9,6.84573E+12,3.25471E+12,66411176030,3.10895E+13,9.3036E+12,1.39203E+13,1.37175E+14,1.17164E+12,4.402E+13,9.78158E+11,8.59528E+11,16267392171,1.83906E+13,1.10279E+11
Central Asia,2015,22301814104,211479649.5,2934900617,52983514974,7.03441E+11,68174748548,6.86589E+12,7.40269E+11,5.87462E+11,1.42367E+14,9.22249E+11,1.73314E+13,1.54718E+11,8083099030,3.15976E+11,1.92614E+13,1.15812E+11
Central America,2015,55094300440,3.17488E+13,688256041.2,9.33826E+11,4.84383E+11,81563600064,1751522464,7.91653E+13,5.2561E+13,1.15093E+13,4.84326E+12,3.77334E+12,3.85136E+11,2.82214E+12,0,18082200724,2092311778
South America,2015,7.81544E+12,7.08231E+14,3836300815,6.59381E+13,9.76974E+12,8.54986E+12,6.52856E+13,2.59795E+14,7.07594E+14,6.90204E+14,8.35757E+13,1.43045E+14,1.40096E+12,3.4873E+13,1.28515E+12,2.69156E+13,1.0385E+12
North America,2014,7.78893E+13,3.94088E+13,2.8634E+11,1.0616E+14,6.80877E+13,4.2972E+12,1.08144E+14,4.00848E+14,3.26751E+14,4.71051E+14,8.46655E+13,2.00119E+14,5.26045E+12,1.90372E+13,1.43892E+12,2.58841E+13,3.32353E+12
Europe,2014,7.2946E+13,2.60509E+13,4.86002E+11,7.39939E+13,3.62833E+13,4.25708E+12,1.74978E+14,3.13051E+14,3.84606E+14,7.99812E+14,1.31196E+14,2.44795E+14,3.5475E+12,1.28934E+13,1.02643E+12,6.13844E+13,1.0356E+12
Africa,2014,1.15509E+14,2.18925E+12,3.12008E+11,3.4169E+13,1.3062E+14,1.76682E+11,1.36325E+13,2.4573E+14,1.74368E+14,1.69372E+14,4.90703E+13,2.58561E+14,1.38572E+13,4.58977E+13,6.90017E+12,1.47592E+11,2.88227E+11
Australia,2014,7.93513E+11,3.45261E+14,490756506.7,1.68541E+14,1.55389E+14,8.48659E+12,5.90039E+13,3.75864E+14,8.84553E+14,1.00824E+15,7.09067E+13,1.6556E+14,4.66346E+12,2.07522E+14,0,1.95148E+14,7.87941E+11
E Asia,2014,5.15081E+12,3.4339E+13,54248543.34,1.92379E+11,9.84054E+11,5.27428E+13,1.81952E+14,3.64256E+13,1.66096E+14,1.78592E+14,7.55363E+12,4.21487E+13,1.35048E+12,2.29022E+11,172330907.6,1.48952E+12,1.76524E+11
N Asia,2014,3.99793E+12,0,8.4014E+11,4.35057E+13,1.94871E+13,4.39146E+11,3.91036E+11,1.21357E+14,1.29641E+14,2.50303E+14,2.4418E+13,1.58103E+14,5.07182E+12,1.80819E+13,2.88092E+11,7.98697E+13,1.89244E+12
S Asia,2014,1.35338E+14,0,2.7277E+14,4.47567E+13,3.70844E+14,9.477E+12,2.08097E+14,6.07727E+14,5.06129E+14,4.01332E+14,1.09492E+14,2.73937E+13,4.1338E+11,7.82298E+12,2.80431E+11,1.22285E+13,4.81718E+12
SE Asia,2014,1.86271E+13,2.35553E+13,1165314355,2.70639E+13,3.28609E+13,87993893688,1.27769E+14,8.1115E+13,1.01013E+14,3.04484E+14,1.89077E+13,5.72923E+14,5.13976E+12,3.60815E+13,2.59409E+12,2.45233E+14,4.72027E+11
SW Asia,2014,7.99687E+11,2.58492E+14,1442486758,9.95786E+12,1.66665E+13,2.07381E+11,13082389355,1.2929E+14,7.24592E+13,2.9728E+13,1.7323E+13,5.27053E+13,8.53841E+11,1.90697E+13,1525646909,6594198974,1.6435E+11
Central Asia,2014,3.62697E+11,14985498123,45158358.77,2.14893E+12,1.46817E+12,41365328593,1.53268E+13,4.49204E+12,3.84058E+12,4.43386E+13,4.62567E+11,3.17682E+13,2.78208E+11,1.03073E+11,4372334061,9.93175E+13,15142386028
Central America,2014,1.03006E+12,1376434410,95140170960,2.12655E+11,2.80969E+12,2.87834E+11,1.13823E+14,3.81154E+12,4.15798E+12,1.51423E+15,6.34238E+12,7.75362E+13,3.75173E+12,1.47834E+11,0,2.58606E+14,19479141839
South America,2014,10760093725,1.70368E+13,448551149.9,8.69736E+11,1.89538E+11,17548402338,100205098.6,4.62576E+13,2.61763E+13,4.2086E+12,3.77547E+12,2.09162E+12,32830945879,1.82629E+12,0,1825179654,68955563603
North America,2013,2.8348E+12,1.07285E+15,209111292.4,3.26708E+13,4.83821E+12,9.44383E+12,4.07427E+13,1.20205E+14,4.63484E+14,3.11651E+14,2.61374E+13,7.07985E+13,2.97825E+12,1.49504E+13,1.05469E+11,2.54139E+13,9.60057E+11
Europe,2013,8.30818E+13,2.67634E+13,8.00974E+11,7.25632E+13,3.49752E+13,3.81569E+12,1.82079E+14,3.00949E+14,3.69797E+14,7.52298E+14,1.40614E+14,2.28376E+14,3.20564E+12,1.02737E+13,9.03048E+11,5.87374E+13,1.02264E+12
Africa,2013,1.14542E+14,2.07294E+12,3.18477E+11,3.48242E+13,1.31574E+14,1.81295E+11,1.30817E+13,2.46869E+14,1.79379E+14,1.69924E+14,4.7028E+13,2.58375E+14,1.30877E+13,4.60709E+13,7.15142E+12,1.45061E+11,2.49772E+11
Australia,2013,7.58165E+11,3.35816E+14,220260592.9,1.68675E+14,1.40612E+14,8.73117E+12,5.2671E+13,3.73561E+14,8.67476E+14,9.653E+14,6.95771E+13,1.51645E+14,4.48803E+12,2.03734E+14,0,1.71676E+14,7.28413E+11
E Asia,2013,4.80026E+12,3.19964E+13,55328635.71,1.43291E+11,9.07459E+11,5.20073E+13,2.0368E+14,3.52372E+13,1.60827E+14,1.89652E+14,7.08497E+12,4.31818E+13,1.25613E+12,2.33766E+11,73031319.45,1.65449E+12,1.68972E+11
N Asia,2013,5.09175E+12,0,8.66318E+11,4.04641E+13,2.02353E+13,5.21355E+11,3.72454E+11,1.22327E+14,1.33646E+14,2.57914E+14,2.61668E+13,1.79755E+14,4.9067E+12,1.69342E+13,2.72561E+11,8.22042E+13,1.6309E+12
S Asia,2013,1.1615E+14,0,3.82092E+14,3.71447E+13,3.22536E+14,1.03543E+13,2.67434E+14,5.55315E+14,5.04348E+14,3.95221E+14,1.142E+14,2.98358E+13,4.37838E+11,7.08541E+12,2.24322E+11,1.52991E+13,5.07497E+12
SE Asia,2013,1.52387E+13,2.15166E+13,795983636.5,2.58295E+13,3.00603E+13,69172245611,1.20658E+14,7.89002E+13,9.38207E+13,2.92082E+14,1.73101E+13,5.78434E+14,5.08502E+12,3.48748E+13,2.02547E+12,2.51044E+14,4.44782E+11
SW Asia,2013,8.87481E+11,2.18941E+14,721314166.2,9.30564E+12,1.52014E+13,2.33878E+11,12075322381,1.33139E+14,7.56979E+13,3.28378E+13,1.87146E+13,5.69368E+13,8.85073E+11,1.94506E+13,1538646718,7335677728,1.84852E+11
Central Asia,2013,3.6432E+11,16915462724,45322715.7,2.18069E+12,1.07917E+12,53227948848,1.54913E+13,4.50337E+12,4.62131E+12,5.00424E+13,4.9951E+11,3.60772E+13,2.94202E+11,99646137035,4465794851,1.09706E+14,15201588678
Central America,2013,9.39812E+11,1296156087,98378219102,2.05132E+11,2.80889E+12,3.2026E+11,8.65861E+13,3.52496E+12,3.92258E+12,1.42167E+15,6.01851E+12,7.45032E+13,3.50112E+12,1.05837E+11,0,2.83471E+14,15755349719
South America,2013,10011454112,1.65736E+13,397007063.2,1.13021E+12,1.8722E+11,15620982697,55982811.34,4.61604E+13,2.5458E+13,4.17784E+12,3.5831E+12,2.20986E+12,31453560280,1.83132E+12,0,1853497600,63177365295
North America,2012,2.74627E+12,1.15927E+15,177611158.1,3.73147E+13,5.37988E+12,8.50556E+12,3.97362E+13,1.14089E+14,4.5128E+14,3.10665E+14,2.64334E+13,7.60295E+13,2.68961E+12,1.14538E+13,1.23417E+11,2.35832E+13,9.10105E+11
Europe,2012,7.71119E+13,2.74148E+13,5.40733E+11,7.76791E+13,3.72825E+13,3.27177E+12,1.55691E+14,2.78964E+14,3.27617E+14,7.33025E+14,1.30976E+14,2.31155E+14,3.11317E+12,9.67262E+12,1.45897E+12,6.18641E+13,9.45014E+11
Africa,2012,1.18771E+14,2.04433E+12,2.53963E+11,3.19259E+13,1.28044E+14,2.01512E+11,1.21463E+13,2.41637E+14,1.73086E+14,1.63372E+14,4.6636E+13,2.37844E+14,1.26913E+13,4.27875E+13,1.70466E+13,1.37657E+11,1.66314E+11
Australia,2012,6.87504E+11,3.30817E+14,631944670.8,1.82751E+14,1.37594E+14,9.33629E+12,6.67378E+13,3.77591E+14,9.11897E+14,1.04892E+15,7.14004E+13,1.67507E+14,4.58354E+12,2.09874E+14,173031202.8,1.91158E+14,1.94344E+12
E Asia,2012,4.72253E+12,3.17412E+13,20634691.15,1.06214E+11,8.07966E+11,4.25077E+13,1.60032E+14,3.41062E+13,1.52146E+14,1.93167E+14,7.0841E+12,3.79204E+13,1.25574E+12,2.25433E+11,543663954.5,1.44765E+12,1.30812E+11
N Asia,2012,4.96101E+12,0,9.28881E+11,4.27065E+13,2.05357E+13,5.61438E+11,3.52932E+11,1.23914E+14,1.35014E+14,2.61832E+14,2.76804E+13,1.55516E+14,4.35757E+12,1.1253E+13,3.0774E+11,9.23725E+13,1.72252E+12
S Asia,2012,1.19379E+14,0,4.07748E+14,3.85192E+13,2.98702E+14,1.06721E+13,2.2042E+14,5.57622E+14,4.98243E+14,3.76274E+14,1.1028E+14,2.77992E+13,3.90649E+11,7.35256E+12,3.26653E+11,1.39697E+13,4.03149E+12
SE Asia,2012,1.58926E+13,2.15582E+13,828955816.8,2.55937E+13,3.01716E+13,68697702810,1.2707E+14,8.0157E+13,9.24664E+13,2.95011E+14,1.6635E+13,5.60842E+14,4.86514E+12,3.42786E+13,2.30814E+12,2.21219E+14,3.34073E+11
SW Asia,2012,9.93951E+11,2.61858E+14,1021861738,1.06502E+13,1.79396E+13,2.11946E+11,12239400486,1.29286E+14,6.86054E+13,3.04355E+13,1.86518E+13,5.63422E+13,7.93017E+11,1.70142E+13,2320944776,7359343300,1.50458E+11
Central Asia,2012,4.76968E+11,15400941062,43875038.32,2.01006E+12,1.57608E+12,67629306413,1.76288E+13,4.16129E+12,4.3538E+12,4.29161E+13,3.89229E+11,3.06168E+13,2.37748E+11,40920944791,3876347334,1.03128E+14,12135381574
Central America,2012,9.57315E+11,1320264477,0,2.15221E+11,2.82905E+12,3.44956E+11,1.00693E+14,3.63105E+12,4.3652E+12,1.55666E+15,5.99892E+12,7.79116E+13,3.65508E+12,87904310203,0,2.59561E+14,13779701534
South America,2012,9141123745,1.60541E+13,126246758.1,1.0336E+12,1.72341E+11,14226933725,38481898.39,4.66157E+13,2.5043E+13,4.21767E+12,3.49642E+12,2.06823E+12,30705686984,1.63851E+12,0,1917261739,55988477017
North America,2011,2.68632E+12,1.20212E+15,202233414.5,3.89665E+13,5.47205E+12,7.99212E+12,3.828E+13,1.18303E+14,4.4082E+14,3.0042E+14,2.62479E+13,7.27073E+13,2.64676E+12,1.23924E+13,1.24172E+11,2.24113E+13,9.23639E+11
Europe,2011,7.53197E+13,2.64124E+13,6.35049E+11,7.37117E+13,3.41443E+13,3.92412E+12,1.8062E+14,2.94055E+14,3.66974E+14,7.65849E+14,1.37882E+14,2.33468E+14,3.30221E+12,1.05663E+13,8.20697E+11,6.11933E+13,1.02246E+12
Africa,2011,1.15521E+14,1.93264E+12,2.43343E+11,3.31811E+13,1.29684E+14,2.26917E+11,1.4252E+13,2.41578E+14,1.72918E+14,1.64808E+14,4.67514E+13,2.53551E+14,1.25995E+13,4.35074E+13,1.59528E+13,1.3223E+11,1.47139E+11
Australia,2011,6.73399E+11,3.16762E+14,484389151.8,1.91873E+14,1.25911E+14,1.09897E+13,8.67435E+13,3.68546E+14,8.8665E+14,1.18891E+15,7.14077E+13,1.68422E+14,4.50374E+12,1.92537E+14,274925664,2.34695E+14,2.1081E+12
E Asia,2011,5.44792E+12,3.25984E+13,21021826.81,94640613624,7.49946E+11,3.77843E+13,1.74598E+14,3.37721E+13,1.51299E+14,2.00093E+14,6.86712E+12,3.85275E+13,1.18577E+12,2.19598E+11,997482962.1,1.48055E+12,1.187E+11
N Asia,2011,4.41999E+12,0,1.01441E+12,4.14375E+13,2.02807E+13,5.32164E+11,3.36164E+11,1.23531E+14,1.31072E+14,2.62245E+14,2.70262E+13,1.79969E+14,4.89419E+12,1.90799E+13,2.83229E+11,8.30874E+13,1.78361E+12
S Asia,2011,1.36684E+14,0,5.82887E+14,3.79696E+13,3.14235E+14,1.00839E+13,2.67791E+14,5.58891E+14,5.22612E+14,3.91583E+14,1.2108E+14,2.98484E+13,4.05148E+11,8.48504E+12,3.74052E+11,1.50122E+13,3.68811E+12
SE Asia,2011,2.01391E+13,2.2209E+13,742276193.6,2.61681E+13,3.07695E+13,72729119426,1.14855E+14,7.98711E+13,9.15511E+13,3.14043E+14,1.61179E+13,6.18269E+14,4.6894E+12,3.30345E+13,6.69046E+12,2.58176E+14,2.64397E+11
SW Asia,2011,8.94817E+11,2.32783E+14,524831277.3,9.22434E+12,1.60158E+13,2.04242E+11,11224505896,1.22498E+14,7.17567E+13,2.8866E+13,1.85289E+13,5.47166E+13,8.04387E+11,2.04542E+13,4336625039,7020339832,1.60772E+11
Central Asia,2011,3.63297E+11,17755134563,44279247.18,2.17009E+12,1.42815E+12,86520842853,1.53223E+13,4.55255E+12,4.76641E+12,4.80285E+13,4.13522E+11,3.12852E+13,2.59278E+11,1.63148E+11,4073349465,1.12013E+14,11343886854
Central America,2011,9.58199E+11,1232451740,0,2.04413E+11,2.90661E+12,3.14036E+11,8.12542E+13,3.4247E+12,4.34371E+12,1.54318E+15,6.10971E+12,7.68453E+13,3.40132E+12,79961079080,0,2.4749E+14,12809952355
South America,2011,9158129365,1.57341E+13,122675266.1,8.9205E+11,1.74853E+11,15946119856,37992864.57,4.63653E+13,2.57002E+13,4.43398E+12,3.54542E+12,2.15321E+12,28478178432,1.91963E+12,0,2123439055,60583183396
North America,2010,2.54846E+12,1.10666E+15,243046258.3,4.07772E+13,5.79406E+12,8.00752E+12,4.27326E+13,1.21754E+14,4.52799E+14,3.25164E+14,2.62316E+13,7.55081E+13,2.65198E+12,1.20633E+13,1.23985E+11,2.59302E+13,9.15755E+11
Europe,2010,6.99005E+13,2.66793E+13,4.08507E+11,7.48863E+13,3.48777E+13,3.76079E+12,1.55055E+14,2.7966E+14,3.38467E+14,6.94374E+14,1.26013E+14,2.2081E+14,3.00365E+12,1.05875E+13,6.02071E+11,5.80662E+13,9.1771E+11
Africa,2010,1.09257E+14,1.88248E+12,2.19448E+11,3.30155E+13,1.29537E+14,2.24428E+11,1.26667E+13,2.42227E+14,1.8185E+14,1.60192E+14,4.89888E+13,2.47152E+14,1.21683E+13,4.64033E+13,8.09872E+12,1.43008E+11,1.28225E+11
Australia,2010,6.4706E+11,3.157E+14,617632815.6,2.18935E+14,1.25774E+14,1.04981E+13,7.79711E+13,3.69225E+14,8.19855E+14,1.0842E+15,6.71897E+13,1.5539E+14,4.06805E+12,1.40928E+14,418888167.6,2.80182E+14,8.70232E+11
