Continents/regions,year,mod_land1,mod_land2,mod_land3,mod_land4,mod_land5,mod_land6,mod_land7,mod_land8,mod_land9,mod_land10,mod_land12,mod_land14,
Europe,2013,6.49E+11,21367028364,320171373.6,3.59E+11,1.44E+12,2106723456,2.40E+11,1.29E+12,1.16E+12,1.42E+12,2.45E+12,2.19E+11,
Africa,2013,4201232910,2.22E+12,1879497.155,3.49E+11,2.68E+11,1.55E+11,1.74E+12,1.16E+12,4.24E+12,7.84E+12,1.29E+12,2.77E+11,
Australia,2013,38135560588,2.09E+11,980602.0404,1162464086,6652038341,3.25E+11,4.11E+12,1.34E+11,5.74E+11,1.82E+12,2.94E+11,933144025.3,
E Asia,2013,1.00E+11,2.28E+12,16960437787,5.98E+11,4.86E+11,5355350134,10367070160,1.81E+12,1.14E+12,3.04E+12,1.80E+12,3.83E+11,
N Asia,2013,3.86E+11,0,4.48E+11,3.15E+11,1.32E+12,38756682355,3.19E+12,2.28E+12,2.33E+12,2.74E+12,2.58E+11,30737172125,
S Asia,2013,33295346871,1.45E+11,1107604.672,87248817993,1.19E+11,176546854.5,2.85E+11,1.96E+11,2.25E+11,6.57E+11,2.23E+12,83537894891,
SE Asia,2013,8194538190,2.04E+12,7397346.277,71013192586,95017281986,631071598.7,138607504.5,8.39E+11,3.61E+11,1.99E+11,4.98E+11,1.44E+11,
SW Asia,2013,19465831137,463150583.8,1631553.165,45576518752,16857973004,332043119.6,3.55E+11,60098780648,72566199547,9.51E+11,4.17E+11,5665023844,
Central Asia,2013,1032207812,7382500.936,103019728.7,1106731996,8091966732,465720721.4,1.27E+11,8190898011,10074804598,2.79E+12,2.11E+11,227188547.8,
Central America,2013,53244312.69,1.56E+11,698587.1251,5123154645,1325837402,101347965.1,737303.0781,1.70E+11,1.26E+11,21126655817,10553963230,6249883608,
South America,2013,42153897499,6.24E+12,4036493.656,2.77E+11,66875386258,52934049960,8.10E+11,9.40E+11,3.64E+12,3.70E+12,6.97E+11,1.20E+11,
North America,2012,1.23E+12,2.13E+11,6488787622,8.95E+11,9.16E+11,25145970176,2.27E+12,3.25E+12,2.61E+12,5.38E+12,1.97E+12,1.49E+11,
Europe,2012,6.46E+11,20880928285,273770778.2,3.53E+11,1.43E+12,2308883488,2.40E+11,1.29E+12,1.17E+12,1.42E+12,2.45E+12,2.16E+11,
