/* Unit: gc/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
Australia,2006,141.42,128.47,0.00,724.89,634.10,63.90,40.27,330.68,236.09,155.92,862.04,133.99,70.98,669.92,5.64,16.07,2.48
E Asia,2006,133.28,138.53,50.89,120.41,135.95,129.62,55.21,236.50,275.79,103.59,647.56,145.99,103.47,247.82,9.72,13.93,2.15
N Asia,2006,40.25,0.00,50.73,62.90,37.16,96.17,33.56,59.90,102.29,76.67,258.35,81.32,18.82,42.44,8.32,33.97,11.69
S Asia,2006,357.08,196.43,20.50,121.81,272.21,236.82,91.44,247.79,230.27,146.67,427.01,110.74,25.67,247.51,9.06,26.51,10.71
SE Asia,2006,544.85,135.69,958.86,307.09,269.82,478.48,499.02,391.04,427.46,481.28,741.68,282.14,88.09,423.64,194.54,223.22,2.01
SW Asia,2006,89.83,106.87,43.10,138.42,165.98,265.22,105.80,144.73,185.17,151.67,265.68,109.07,20.55,133.08,41.67,4.45,3.23
Central Asia,2006,16.27,37.62,19.69,41.77,74.54,173.33,44.64,69.93,63.66,46.69,104.59,62.31,5.86,18.59,12.18,25.06,0.69
Central America,2006,915.89,152.64,0.00,164.36,339.89,634.91,394.50,433.11,403.39,532.72,805.62,377.43,149.72,462.67,0.00,297.48,0.19
South America,2006,165.51,108.62,585.68,216.52,151.44,151.29,80.24,274.84,210.56,195.41,597.72,169.50,12.75,252.54,35.54,38.54,4.65
North America,2005,63.80,167.32,38.34,124.15,74.59,170.86,51.97,128.02,126.14,88.91,205.99,106.43,30.37,104.52,4.55,37.64,6.14
Europe,2005,58.65,106.29,104.30,72.09,39.30,129.79,73.83,93.39,145.09,152.36,318.56,131.22,19.24,82.88,3.02,84.16,1.80
Africa,2005,177.70,92.86,460.53,101.75,97.01,87.32,50.12,176.39,149.27,115.91,543.55,103.50,65.03,198.06,57.52,1.62,0.51
Australia,2005,137.21,126.34,0.00,666.00,582.75,64.50,30.81,325.98,223.87,131.40,836.08,119.81,69.46,684.73,1.22,18.41,1.06
E Asia,2005,135.61,133.66,48.09,119.50,135.37,123.78,55.30,233.00,266.88,100.58,635.15,144.56,101.79,241.16,7.93,13.65,1.59
N Asia,2005,46.89,0.00,48.27,64.58,40.28,80.68,36.17,65.30,112.92,85.25,300.43,102.09,22.13,48.48,9.65,37.05,14.07
S Asia,2005,359.37,187.86,18.00,112.87,253.13,236.86,77.81,234.75,219.83,139.11,406.30,107.36,24.28,233.27,8.31,25.85,10.36
SE Asia,2005,561.74,130.14,740.48,289.73,260.19,422.95,461.16,387.66,404.04,439.09,724.26,256.36,89.75,413.69,134.60,184.28,1.66
SW Asia,2005,84.38,93.56,66.68,119.83,148.77,320.37,93.06,155.49,204.48,159.22,268.07,114.15,20.29,147.27,44.55,3.86,3.08
Central Asia,2005,20.07,35.35,22.83,47.18,85.66,179.56,46.14,79.91,67.46,50.96,113.54,79.34,6.17,30.46,12.03,25.39,0.85
Central America,2005,884.86,138.47,0.00,165.84,336.78,667.33,499.83,421.81,384.17,517.68,750.81,362.50,138.11,468.79,0.00,303.64,0.18
South America,2005,160.58,103.60,598.10,220.92,141.94,148.44,79.25,269.94,211.80,197.37,593.96,168.52,12.45,269.54,30.02,38.72,4.47
North America,2004,58.76,165.94,35.77,120.78,70.57,174.52,52.90,124.76,120.56,90.78,167.62,103.30,31.64,128.74,4.14,39.39,5.98
Europe,2004,57.54,113.30,108.90,71.04,37.83,137.47,73.87,91.60,142.62,151.96,290.09,131.23,19.15,81.48,2.04,84.21,1.64
Africa,2004,185.62,95.00,496.54,94.87,95.88,93.10,57.18,177.01,152.12,121.42,567.57,105.64,65.95,202.14,14.96,1.71,0.52
Australia,2004,156.38,126.63,0.00,681.89,601.43,66.61,38.25,341.82,227.04,147.70,866.54,126.30,66.88,711.99,4.76,20.67,2.01
E Asia,2004,126.00,142.71,45.89,125.18,133.84,106.30,57.53,240.82,297.42,103.08,667.70,148.96,102.37,255.74,7.53,13.05,1.27
N Asia,2004,47.63,0.00,42.27,62.23,37.04,75.52,32.67,60.99,99.40,80.65,271.78,99.32,20.92,47.14,9.45,33.90,12.12
S Asia,2004,348.89,179.49,142.11,110.24,246.38,250.50,64.01,240.33,231.54,137.79,419.76,115.50,22.36,248.66,8.14,21.55,10.76
SE Asia,2004,483.63,140.13,803.95,322.79,262.01,500.55,576.53,413.59,443.34,482.34,764.36,271.29,84.22,429.18,123.93,185.63,1.70
SW Asia,2004,91.67,118.21,197.95,118.98,151.34,324.80,107.34,160.60,202.88,165.97,292.12,120.89,20.65,145.95,51.94,4.61,3.14
Central Asia,2004,20.21,38.44,20.95,42.62,75.14,177.75,48.21,69.93,62.50,51.51,111.17,74.46,6.00,9.00,13.25,25.17,0.77
Central America,2004,1030.61,163.95,0.00,180.28,362.53,673.62,661.00,474.22,423.65,572.30,844.56,399.87,153.51,508.06,218.50,328.46,0.21
South America,2004,163.78,106.60,636.80,221.25,137.17,146.15,81.47,277.26,218.69,204.16,600.53,172.56,12.53,269.21,21.01,39.10,5.33
